insurance_company,recover_office_zip_code,damage_address_zip_code,office_distance,case_creation_year,case_creation_month,project_id
J,5147,5244,"21,2",2021,12,148158
K,7038,7353,"27,6",2021,8,148159
I,7038,7070,"22,7",2021,12,148161
K,3157,3150,"10,3",2022,9,148162
H,7820,7863,"28,4",2023,4,148166
C,975,454,"9,8",2020,8,148167
E,6100,6142,"43,6",2024,6,148173
J,7038,7020,"7,5",2022,2,148174
N,283,468,"10,1",2023,9,148177
C,2821,2817,"4,9",2022,1,148183
L,1618,1593,"32,7",2023,2,148184
K,1406,1447,"18,8",2022,9,148185
C,5360,5382,"13,8",2022,7,148187
C,283,281,"4,1",2024,8,148188
K,3157,3111,"5,3",2021,7,148189
C,283,366,"6,2",2022,11,148191
C,5360,5378,"17,8",2024,2,148192
J,7340,7340,11,2022,1,148194
J,8402,8410,"57,7",2024,4,148195
C,4013,4014,"1,6",2023,12,148197
C,7038,7037,"3,1",2023,8,148199
C,3219,3228,5,2021,1,148202
C,2383,2386,"3,4",2022,3,148205
K,9360,9350,"30,8",2022,6,148208
H,7503,7500,"0,8",2023,9,148210
C,3513,3630,137,2024,6,148211
D,5542,4260,"4,6",2022,2,148212
C,9152,9144,"81,6",2021,10,148216
C,2019,2000,"5,5",2022,7,148217
J,4636,4634,"11,6",2019,12,148220
J,5147,5212,"27,6",2021,1,148221
N,8208,8110,"76,8",2021,8,148226
N,4636,4616,"12,5",2021,8,148227
J,8012,8023,"9,8",2020,9,148228
C,283,165,"8,5",2022,9,148231
D,3032,3032,"0,3",2022,3,148233
N,3718,3725,"1,6",2021,9,148234
J,1400,1823,"17,8",2020,9,148235
J,4313,4307,"7,7",2021,7,148236
N,4820,4810,"16,1",2020,7,148237
J,283,1366,"2,5",2023,4,148239
J,4820,4934,"28,7",2020,2,148240
J,6100,6065,"35,2",2020,10,148242
E,1618,1618,0,2023,8,148243
C,6900,6905,"2,3",2021,10,148247
J,1400,1412,"13,3",2019,12,148248
E,7604,7602,"3,1",2024,8,148249
J,1767,1776,1,2021,7,148251
D,2770,2770,"1,7",2024,1,148255
K,6100,6153,"11,5",2025,3,148257
N,2056,2032,"27,6",2021,1,148258
J,5360,5337,"32,9",2020,2,148261
J,975,987,"5,7",2020,11,148262
K,5460,5460,"1,7",2025,5,148263
J,7503,7514,"7,8",2022,12,148266
K,8613,8766,"86,3",2023,3,148267
E,7604,7654,"12,8",2023,11,148271
J,4013,4025,4,2025,3,148273
H,7604,7603,"2,6",2023,8,148274
N,2019,469,"20,8",2022,12,148276
J,8402,8445,"41,6",2023,3,148277
N,4820,4820,"5,3",2021,3,148279
J,4313,4020,"8,4",2019,12,148280
H,3735,3936,"8,2",2023,4,148282
C,5147,5141,"4,2",2022,2,148291
J,1188,1279,"6,3",2024,9,148295
C,4013,4077,5,2023,2,148300
J,4276,4276,"3,9",2024,6,148303
N,1599,1529,"6,4",2020,4,148309
D,2770,2770,"7,2",2024,7,148310
C,3057,3018,"2,4",2022,3,148315
N,2019,969,"13,5",2023,2,148317
J,6023,6006,"21,1",2025,1,148319
J,3414,3425,"4,7",2022,2,148321
C,2056,2069,7,2019,4,148323
C,3718,3725,"1,6",2020,12,148324
N,3414,3477,"19,7",2020,7,148326
D,2770,2750,2,2024,4,148327
J,5147,5058,6,2025,1,148328
N,7820,7820,"1,2",2023,6,148330
J,8370,8370,"2,2",2024,6,148331
F,7038,7092,"7,9",2022,11,148335
J,3232,3270,"6,9",2022,7,148337
E,6023,6040,"32,6",2023,2,148338
J,9845,9840,"31,2",2022,2,148339
J,283,788,10,2023,6,148340
N,8656,8665,"5,6",2022,10,148342
C,283,1365,"9,7",2021,9,148344
C,2770,2770,"2,5",2024,9,148345
J,2383,2320,"8,7",2021,8,148346
J,3057,489,"54,5",2023,10,148347
N,283,380,"1,8",2022,8,148348
C,3414,3055,"22,5",2020,4,148349
C,5911,5913,"21,3",2025,2,148350
J,283,751,"3,7",2023,2,148353
H,977,1086,"5,9",2022,11,148356
C,7038,7058,"7,9",2019,6,148358
C,5463,5457,"26,3",2020,8,148359
K,3718,3930,"15,5",2020,10,148360
J,3138,3138,"1,4",2021,7,148361
N,1767,1767,"0,4",2020,11,148362
N,3232,3220,"6,5",2022,6,148363
N,2714,2770,"5,7",2023,8,148364
C,975,570,"7,6",2020,5,148365
K,7604,7655,"16,7",2024,1,148366
C,1383,1383,"1,7",2022,4,148367
C,1599,1525,"6,1",2023,6,148369
N,3157,3141,22,2023,2,148370
N,5147,5134,"21,6",2023,10,148371
J,2406,2407,"5,7",2025,5,148372
C,1188,1275,"8,8",2021,6,148374
N,9024,9023,"5,1",2020,5,148376
E,6100,6076,"42,8",2022,3,148377
C,4612,4633,"5,5",2022,11,148378
N,8370,8300,"67,1",2022,9,148379
N,6100,6051,"33,6",2022,9,148380
E,3300,3303,"4,4",2024,4,148381
C,7038,7030,"3,2",2020,8,148388
I,1599,1537,"3,6",2021,9,148389
J,975,590,"5,3",2021,5,148390
H,2770,2879,"60,1",2024,8,148391
C,1618,1617,"2,7",2021,1,148393
K,7038,7017,"6,5",2023,12,148394
C,977,566,"9,9",2023,5,148395
C,1807,1816,"18,8",2021,12,148397
K,1086,1467,"6,7",2024,7,148400
J,5147,5244,"15,5",2020,11,148401
K,9407,9450,"32,2",2020,2,148403
J,975,673,"4,4",2022,1,148405
N,1188,960,"17,2",2022,10,148406
C,1618,1607,"5,8",2020,4,148407
K,1086,287,"18,8",2022,11,148408
N,4820,4916,"44,6",2021,7,148409
D,6900,6900,"1,8",2022,12,148410
C,2019,2014,17,2022,3,148413
C,7038,7022,"5,6",2020,4,148415
J,3718,3715,"4,3",2020,6,148416
C,8006,8016,"15,3",2024,5,148417
C,4013,4021,"5,3",2024,12,148418
C,7038,7025,"8,3",2022,4,148419
C,7327,6657,"47,6",2023,4,148420
K,3262,3257,"2,5",2023,8,148421
J,283,775,"5,8",2024,6,148422
C,8370,8300,"65,9",2022,1,148423
B,3219,3234,"1,8",2020,5,148428
J,8803,8850,"28,1",2025,1,148429
C,7500,7500,"2,1",2021,10,148432
J,5147,5115,"19,5",2023,2,148436
C,7038,7058,"8,1",2020,5,148437
C,5147,5253,"8,2",2020,8,148439
C,1599,1523,"2,9",2021,7,148440
N,8370,8360,"6,6",2020,5,148441
K,2940,2985,60,2023,10,148442
C,1684,1684,"3,3",2023,4,148443
C,1188,652,"7,5",2022,6,148445
C,4013,4012,1,2020,12,148446
J,5537,5563,"8,9",2023,2,148450
C,5430,5430,3,2024,2,148452
F,7820,7884,"165,6",2020,8,148457
D,3735,3713,"5,1",2023,7,148460
L,283,1362,"5,1",2023,2,148461
G,9360,8520,"86,4",2023,2,148463
J,6100,6100,"0,4",2023,1,148465
C,8803,8700,"41,7",2024,4,148467
N,4636,4070,22,2020,11,148468
C,1383,1392,"7,5",2020,3,148470
E,5911,5914,"10,1",2020,8,148471
J,5911,5918,"17,1",2020,1,148472
J,975,1053,"2,9",2022,1,148475
J,5360,5381,"19,1",2021,11,148480
G,7327,7255,"75,3",2023,5,148482
J,4820,4818,"14,5",2020,12,148486
E,2619,2607,"16,2",2024,4,148487
J,1400,1407,"2,9",2020,3,148488
J,1383,1395,"7,9",2022,7,148491
J,7038,7043,"11,6",2024,7,148492
K,7038,7011,"5,8",2024,1,148493
J,4848,4885,"10,7",2022,4,148494
E,5147,5151,"4,2",2021,4,148500
K,2940,2910,"33,2",2023,9,148501
C,7038,7020,"8,7",2021,1,148503
E,1188,1153,"2,6",2024,2,148504
N,7714,7725,"1,3",2022,5,148505
N,8012,8029,"11,7",2020,10,148506
J,9514,9516,"3,5",2021,1,148509
K,8012,8021,8,2022,6,148510
C,6900,6905,"1,9",2023,6,148513
G,3017,3030,"6,3",2021,4,148514
C,4612,4630,2,2022,3,148515
N,3157,3140,"17,2",2021,6,148517
C,975,178,"9,4",2021,2,148518
D,7820,7805,"3,3",2020,7,148519
G,3017,3039,"12,3",2024,5,148520
J,4013,4009,"2,6",2022,12,148521
K,9845,9845,"0,9",2024,1,148523
C,3940,3916,"9,4",2021,2,148525
J,4636,4628,"16,5",2022,2,148526
C,182,776,"8,2",2025,5,148527
N,5147,5097,"11,2",2023,7,148530
F,7038,7355,"32,2",2022,12,148532
K,8400,8400,"0,6",2020,4,148533
C,4344,4360,"10,6",2020,3,148534
K,6900,6905,2,2020,7,148536
J,3017,3019,1,2020,12,148544
N,9360,9334,"57,7",2022,2,148546
J,9024,9020,"5,8",2024,1,148547
D,5360,5363,"11,1",2023,3,148548
D,6800,6819,"11,6",2019,7,148549
J,7038,7036,"2,5",2025,2,148552
I,4950,4909,"19,4",2021,9,148553
D,5147,5042,"12,7",2024,2,148556
J,6800,6812,"4,1",2022,10,148557
J,8402,8450,"36,8",2024,1,148558
E,9152,3916,"4,1",2022,1,148559
J,5412,5410,"4,7",2021,5,148561
C,3513,3511,3,2023,2,148563
K,9518,9513,"7,5",2025,6,148565
C,8012,8005,"3,9",2021,10,148566
C,3219,3230,"7,4",2022,3,148567
J,3157,3172,9,2025,1,148568
C,5147,5033,"9,5",2020,5,148569
D,8400,8445,"43,7",2020,7,148571
J,6800,6914,47,2020,4,148572
K,977,1357,25,2023,2,148573
C,8400,8450,29,2021,12,148575
J,9024,9009,"5,6",2023,8,148576
J,5412,5693,34,2022,3,148578
C,5412,5419,"25,1",2020,9,148580
J,975,451,"10,5",2020,4,148581
C,2383,2320,"9,8",2021,1,148582
J,283,1341,"5,1",2020,12,148584
H,3414,3427,"2,9",2020,11,148591
N,9409,9475,"20,5",2021,5,148593
C,2940,2683,"47,9",2024,3,148594
K,8400,8450,"33,2",2021,1,148597
C,7038,7050,"3,8",2025,4,148598
J,9360,9360,"37,3",2023,1,148599
C,7870,7890,"75,4",2025,4,148600
C,2619,2615,"3,4",2023,1,148602
C,5147,5056,"7,1",2022,11,148603
C,7038,7072,"8,3",2021,9,148605
C,9152,9180,"45,2",2020,3,148606
J,8400,8407,"13,3",2020,8,148607
N,5147,5310,"20,8",2021,10,148608
C,1711,1658,"8,8",2021,9,148609
J,8400,8475,"52,5",2019,12,148611
C,8370,8360,"8,5",2021,3,148613
J,2019,2007,"3,4",2023,7,148619
H,6023,6060,"24,6",2020,7,148620
H,6415,6610,"82,3",2021,8,148624
E,2406,2420,"76,2",2023,10,148628
D,5537,5522,5,2024,5,148629
J,2406,2340,"17,4",2022,2,148631
K,8613,8618,9,2024,12,148636
E,7038,7046,"6,2",2025,6,148638
J,3735,3931,"12,4",2023,8,148639
K,9900,9550,"571,3",2021,8,148641
C,1188,1400,"22,3",2023,9,148647
N,1400,1415,"9,6",2021,2,148648
N,2821,2816,5,2021,10,148649
D,4636,4634,"19,1",2023,1,148650
K,6023,6065,"31,5",2022,3,148654
N,1086,194,12,2023,3,148655
C,7900,7994,"87,6",2021,7,148656
C,4636,4625,"22,2",2021,4,148658
N,6783,6783,"9,8",2020,3,148659
D,3414,3405,"13,8",2025,2,148660
J,1383,1386,"4,6",2020,11,148661
G,1767,1798,"24,8",2021,3,148666
C,7038,7091,"7,1",2020,7,148669
K,7604,7602,"3,3",2021,10,148670
N,6800,6980,"49,4",2022,6,148672
C,7300,6658,"35,1",2024,2,148675
C,6415,6450,"15,5",2021,3,148676
J,7038,7227,"20,4",2022,1,148680
E,7327,7288,"59,2",2020,1,148683
N,3262,3256,"2,3",2021,8,148684
N,1086,2010,14,2021,2,148685
N,3513,3535,"44,7",2020,7,148686
J,3414,1385,"13,1",2020,9,148687
K,7900,7900,3,2023,2,148690
C,3057,3044,"4,7",2019,9,148692
E,7038,7056,"7,7",2021,4,148695
C,1711,1725,"0,7",2024,1,148696
N,1599,1626,"26,8",2020,5,148697
D,4735,4735,"8,5",2020,7,148698
E,6023,6011,"5,9",2022,9,148700
C,8900,8907,"1,1",2024,6,148702
C,2940,2890,"55,7",2020,4,148703
C,1086,986,"7,5",2024,6,148705
K,8402,8480,"100,8",2024,8,148707
C,975,556,"8,3",2022,4,148711
C,283,262,"5,6",2023,2,148715
J,5463,5462,"3,8",2022,7,148717
C,6415,6440,15,2020,4,148718
N,6100,6065,"33,9",2020,11,148721
N,4636,4640,30,2020,3,148726
N,2019,672,"16,5",2023,7,148728
C,2019,1168,"26,7",2021,8,148729
J,6023,6065,"31,2",2022,1,148730
J,4515,4513,"9,9",2021,6,148733
C,6070,6092,"11,5",2023,1,148734
J,3940,3940,"3,8",2022,8,148736
N,7038,7014,"6,1",2022,2,148738
J,1400,1415,"9,8",2021,5,148740
C,4013,4009,"3,3",2024,6,148741
H,4313,4041,"9,5",2023,9,148742
J,4013,4029,8,2023,9,148743
H,2406,2406,"2,6",2024,11,148745
J,4636,4823,"49,4",2024,10,148747
F,6023,6240,30,2023,4,148748
F,7340,7342,"20,1",2023,10,148749
J,6800,6800,"3,6",2022,12,148750
N,9024,9024,"1,9",2023,4,148753
J,1188,1283,"6,9",2022,8,148754
J,9514,9511,"5,9",2020,6,148757
J,4636,,"13,8",2020,9,148759
J,9409,9440,"39,9",2022,1,148760
C,7503,7506,"2,6",2024,5,148761
K,3718,3718,"1,1",2020,4,148762
C,5700,5700,"3,7",2023,9,148763
E,7604,7654,"12,7",2021,1,148764
C,7820,7877,"37,5",2020,1,148768
J,7038,7075,"3,4",2020,12,148769
J,975,661,"8,2",2021,6,148772
J,6023,6055,"29,3",2021,12,148773
C,2714,2770,"1,5",2023,4,148774
N,7714,7724,4,2020,8,148775
N,7900,7970,"21,9",2021,3,148776
C,6718,6740,"45,7",2021,2,148778
J,1406,1405,"6,6",2023,2,148779
J,2619,2670,"110,8",2020,2,148781
J,7500,7506,"3,9",2021,1,148782
C,5412,5410,"4,8",2024,12,148785
C,5147,5011,7,2020,12,148788
G,3513,3513,"0,9",2022,4,148790
C,6900,6908,"2,8",2020,6,148791
J,4013,4029,"7,4",2023,3,148795
N,4636,4632,11,2022,8,148796
